borough,station,route,ridership_2013,ridership_2018,station_geom
Queens,46 St,7,14656,12828,POINT(-73.918435 40.743132)
Queens,46 St,M R,9529,8752,POINT(-73.913333 40.756312)
Queens,52 St,7,6830,6001,POINT(-73.912549 40.744149)
Queens,63 Dr - Rego Park,M R,16334,15574,POINT(-73.861604 40.729846)
Queens,65 St,M R,3532,3601,POINT(-73.898453 40.749669)
Queens,67 Av,M R,9475,8774,POINT(-73.852719 40.726523)
Queens,69 St,7,5085,4679,POINT(-73.896403 40.746325)
Queens,75 Av,E F,3763,3455,POINT(-73.837324 40.718331)
Queens,75 St,J Z,3759,3464,POINT(-73.867139 40.691324)
Queens,80 St,A,4291,4316,POINT(-73.858992 40.679371)
Queens,82 St - Jackson Hts,7,15662,14626,POINT(-73.883697 40.747659)
Queens,85 St - Forest Pkwy,J,3792,3699,POINT(-73.86001 40.692435)
Queens,88 St,A,2719,2835,POINT(-73.85147 40.679843)
Queens,90 St - Elmhurst Av,7,16743,16253,POINT(-73.876613 40.748408)
Queens,Aqueduct - N Conduit Av,A,1951,921,POINT(-73.834058 40.668234)
Queens,Aqueduct Racetrack,A,551,1901,POINT(-73.835919 40.672097)
Queens,Astoria - Ditmars Blvd,N W,17039,15663,POINT(-73.912034 40.775036)
Queens,Astoria Blvd,N W,12210,14425,POINT(-73.917843 40.770258)
Queens,Beach 105 St,A S,141,261,POINT(-73.827559 40.583209)
Queens,Beach 25 St,A,904,1792,POINT(-73.761353 40.600066)
Queens,Beach 36 St,A,466,887,POINT(-73.768175 40.595398)
Queens,Beach 44 St,A,297,693,POINT(-73.776013 40.592943)
Queens,Beach 60 St,A,1317,2013,POINT(-73.788522 40.592374)
Queens,Beach 67 St,A,1118,2103,POINT(-73.796924 40.590927)
Queens,Beach 90 St,A S,463,1097,POINT(-73.813641 40.588034)
Queens,Beach 98 St,A S,292,481,POINT(-73.820558 40.585307)
Queens,Briarwood - Van Wyck Blvd,E F,4664,4913,POINT(-73.820574 40.709179)
Queens,Broad Channel,A S,127,285,POINT(-73.815925 40.608382)
Queens,Broadway,N W,13280,8473,POINT(-73.925508 40.76182)
Queens,Elmhurst Av,M R,13597,12463,POINT(-73.882017 40.742454)
Queens,Far Rockaway - Mott Av,A,2651,4435,POINT(-73.755405 40.603995)
Queens,Flushing - Main St,7,60190,55669,POINT(-73.83003 40.7596)
Queens,Forest Av,M,4103,3124,POINT(-73.903077 40.704423)
Queens,Forest Hills - 71 Av,E F M R,27728,26613,POINT(-73.844521 40.721691)
Queens,Fresh Pond Rd,M,5333,4716,POINT(-73.895877 40.706186)
Queens,Grand Av - Newtown,M R,18298,18489,POINT(-73.877223 40.737015)
Queens,Halsey St,L,7308,8386,POINT(-73.904084 40.695602)
Queens,Howard Beach - JFK Airport,A,4972,3376,POINT(-73.830301 40.660476)
Queens,Hunters Point Av,7,6400,7205,POINT(-73.948916 40.742216)
Queens,Jamaica - 179 St,F,23280,21452,POINT(-73.783817 40.712646)
Queens,Jamaica - Van Wyck,E,4992,4717,POINT(-73.816859 40.702566)
Queens,Jamaica Center - Parsons/Archer,E J Z,41686,36368,POINT(-73.801109 40.702147)
Queens,Junction Blvd,7,20818,21100,POINT(-73.869527 40.749145)
Queens,Kew Gardens - Union Tpke,E F,28289,25536,POINT(-73.831008 40.714441)
Queens,Mets - Willets Point,7,4675,4606,POINT(-73.845625 40.754622)
Queens,Middle Village - Metropolitan Av,M,4092,3225,POINT(-73.889601 40.711396)
Queens,Northern Blvd,M R,7235,6904,POINT(-73.906006 40.752885)
Queens,Ozone Park - Lefferts Blvd,A,7476,7591,POINT(-73.825798 40.685951)
